Fecha, Ultimo, Volumen, Apertura, Maximo, Minimo
2021-02-02, 4.46, 9040874, 4.75, 4.81, 4.4
2021-02-01, 4.39, 11028140, 4.35, 4.8601, 4.05
2021-01-29, 4.01, 7993947, 4.54, 4.8, 4.01
2021-01-28, 4.72, 11041220, 5.08, 5.1048, 4.1
2021-01-27, 4.85, 14455380, 4.875, 5.645, 4.65
2021-01-26, 5.45, 17681550, 6.05, 6.2, 5.21
2021-01-25, 5.84, 44045480, 6.11, 7.3, 5.16
2021-01-22, 5.6, 51051140, 4.14, 5.625, 4.1
2021-01-21, 4.18, 45258940, 3.42, 4.65, 3.25
2021-01-20, 3.6, 25567530, 3.538, 3.85, 3.01
2021-01-19, 3.33, 18285620, 3.03, 3.41, 2.88
2021-01-15, 2.88, 13578000, 2.93, 3.08, 2.82
2021-01-14, 2.93, 9455973, 2.99, 2.99, 2.85
2021-01-13, 2.99, 51413420, 3.67, 3.75, 2.76
2021-01-12, 3.05, 18620320, 2.93, 3.09, 2.71
2021-01-11, 2.81, 10588170, 2.837, 3.05, 2.76
2021-01-08, 2.78, 10015920, 3.09, 3.12, 2.77
2021-01-07, 2.75, 9609716, 2.855, 2.9, 2.66
2021-01-06, 2.59, 6784876, 2.89, 2.9, 2.54
2021-01-05, 2.7, 1459877, 2.64, 2.73, 2.61
2021-01-04, 2.7, 1893194, 2.7, 2.76, 2.6
2020-12-31, 2.69, 2656738, 2.87, 2.88, 2.66
2020-12-30, 2.91, 1778351, 2.982, 3.03, 2.87
2020-12-29, 2.93, 3945839, 3.33, 3.35, 2.78
2020-12-28, 3.19, 5298074, 3.14, 3.5, 3.13
2020-12-24, 3.11, 2183520, 3.18, 3.21, 3
2020-12-23, 3.19, 8444818, 3.25, 3.5, 2.93
2020-12-22, 3.19, 10413050, 2.77, 3.24, 2.71
2020-12-21, 2.65, 2796400, 2.62, 2.7, 2.53
2020-12-18, 2.56, 3953977, 2.47, 2.69, 2.44
2020-12-17, 2.43, 1402460, 2.45, 2.58, 2.42
2020-12-16, 2.45, 1826941, 2.583, 2.618, 2.39
2020-12-15, 2.58, 3940686, 2.39, 2.6, 2.3598
2020-12-14, 2.34, 2074044, 2.27, 2.485, 2.25
2020-12-11, 2.21, 1590184, 2.35, 2.37, 2.18
2020-12-10, 2.31, 1482186, 2.28, 2.42, 2.28
2020-12-09, 2.35, 3654000, 2.58, 2.6, 2.25
2020-12-08, 2.58, 2885673, 2.6, 2.65, 2.45
2020-12-07, 2.66, 3052927, 2.56, 2.75, 2.48
2020-12-04, 2.52, 3267389, 2.47, 2.69, 2.4285
2020-12-03, 2.49, 1758324, 2.55, 2.62, 2.47
2020-12-02, 2.57, 4297211, 2.33, 2.72, 2.24
2020-12-01, 2.54, 4909246, 2.78, 2.82, 2.42
2020-11-30, 2.88, 5166259, 3, 3.02, 2.67
2020-11-27, 3.05, 3546284, 3.16, 3.24, 3
2020-11-25, 3.16, 10408870, 2.8, 3.27, 2.71
2020-11-24, 3.02, 58349950, 3.31, 4.46, 2.67
2020-11-23, 2.17, 14785250, 2.099, 2.18, 1.97
2020-11-20, 2.19, 13051030, 2.22, 2.4, 2.13
2020-11-19, 2.02, 7348612, 1.85, 2.05, 1.76
2020-11-18, 1.89, 3968959, 1.97, 1.97, 1.81
